"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"case_id: TC_LOGIN_038
source_case: Py_Hopetrip_38
area_code: +86
phone: jfiwenijewjfeiwojfeiow点击双击大口大口13131321
expect_text: 請輸入正確的地區號和手機號
description: 超长格式大陆手机号+正确密码登录失败","15674","TC_LOGIN_038 - 超长格式大陆手机号+正确密码登录失败","test_case","2026-08-20","passed","2026-08-20","TestLogin","test_login","",""
"case_id: TC_LOGIN_017
source_case: Py_Hopetrip_17
area_code: +853
phone: 
expect_text: 請輸入正確的地區號和手機號
description: 空澳门区号手机号和密码登录失败","15763","TC_LOGIN_017 - 空澳门区号手机号和密码登录失败","test_case","2026-08-20","passed","2026-08-20","TestLogin","test_login","",""
"case_id: TC_LOGIN_024
source_case: Py_Hopetrip_24
area_code: +886
phone: 0900188186
expect_text: 登入賬號錯誤
description: 未注册台湾的手机号登录失败","15872","TC_LOGIN_024 - 未注册台湾的手机号登录失败","test_case","2026-08-20","passed","2026-08-20","TestLogin","test_login","",""
"case_id: TC_LOGIN_021
source_case: Py_Hopetrip_21
area_code: +886
phone: 0900188188
expect_text: 登入成功
description: 台湾手机号+正确密码登录成功","15738","TC_LOGIN_021 - 台湾手机号+正确密码登录成功","test_case","2026-08-20","passed","2026-08-20","TestLogin","test_login","",""
"case_id: TC_LOGIN_015
source_case: Py_Hopetrip_15
area_code: +853
phone: 652sdfgdsf
expect_text: 請輸入正確的地區號和手機號
description: 错误格式的澳门手机加密码登录失败","15670","TC_LOGIN_015 - 错误格式的澳门手机加密码登录失败","test_case","2026-08-20","passed","2026-08-20","TestLogin","test_login","",""
"case_id: TC_LOGIN_039
source_case: Py_Hopetrip_39
area_code: +86
phone: 185
expect_text: 請輸入正確的地區號和手機號
description: 超短格式大陆手机号+正确密码登录失败","15715","TC_LOGIN_039 - 超短格式大陆手机号+正确密码登录失败","test_case","2026-08-20","passed","2026-08-20","TestLogin","test_login","",""
"case_id: TC_LOGIN_020
source_case: Py_Hopetrip_20
area_code: +853
phone: 96526666
expect_text: 請輸入正確的地區號和手機號
description: 错误区号手机号+正确密码登录失败","15813","TC_LOGIN_020 - 错误区号手机号+正确密码登录失败","test_case","2026-08-20","passed","2026-08-20","TestLogin","test_login","",""
"case_id: TC_LOGIN_032
source_case: Py_Hopetrip_32
area_code: +86
phone: 18502160291
expect_text: 登入失敗，手機號/密碼錯誤
description: 大陆手机号+错误密码登录失败","15658","TC_LOGIN_032 - 大陆手机号+错误密码登录失败","test_case","2026-08-20","passed","2026-08-20","TestLogin","test_login","",""
"case_id: TC_LOGIN_013
source_case: Py_Hopetrip_13
area_code: +853
phone: 65202623
expect_text: 請輸入密碼
description: 澳门手机号+空密码登录失败","15643","TC_LOGIN_013 - 澳门手机号+空密码登录失败","test_case","2026-08-20","passed","2026-08-20","TestLogin","test_login","",""
"case_id: TC_LOGIN_022
source_case: Py_Hopetrip_22
area_code: +886
phone: 0900188188
expect_text: 登入失敗，手機號/密碼錯誤
description: 台湾手机号+错误密码登录失败","15816","TC_LOGIN_022 - 台湾手机号+错误密码登录失败","test_case","2026-08-20","passed","2026-08-20","TestLogin","test_login","",""
